"filename", "language", "XML", "C#", "Swift", "C++", "YAML", "Dart", "comment", "blank", "total"
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\PersonRepository.cs", "C#", 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\WeatherAlertRepository.cs", "C#", 0, 54, 0, 0, 0, 0, 0, 5, 59
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\WeatherConditionRepository.cs", "C#", 0, 54, 0, 0, 0, 0, 0, 5, 59
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\WeatherForecastRepository.cs", "C#", 0, 54, 0, 0, 0, 0, 0, 6, 60
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\WeatherNotificationRepository.cs", "C#", 0, 74, 0, 0, 0, 0, 0, 6, 80
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\iVertion.Infra.Data.csproj", "XML", -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Projetos\weather-tracking\Api\iVertion.Infra.IoC\DependencyInjectionAPI.cs", "C#", 0, 5, 0, 0, 0, 0, 2, 2, 9
"c:\Projetos\weather-tracking\Api\iVertion.WebApi\Controllers\AccountController.cs", "C#", 0, -1, 0, 0, 0, 0, -3, -2, -6
"c:\Projetos\weather-tracking\Api\iVertion.WebApi\Controllers\AddressController.cs", "C#", 0, 9, 0, 0, 0, 0, 2, 0, 11
"c:\Projetos\weather-tracking\Api\iVertion.WebApi\Controllers\PersonController.cs", "C#", 0, 32, 0, 0, 0, 0, 5, 5, 42
"c:\Projetos\weather-tracking\Api\iVertion.WebApi\Controllers\TokenController.cs", "C#", 0, 4, 0, 0, 0, 0, -3, -2, -1
"c:\Projetos\weather-tracking\Api\iVertion.WebApi\Controllers\UserController.cs", "C#", 0, 33, 0, 0, 0, 0, 9, 1, 43
"c:\Projetos\weather-tracking\Api\iVertion.WebApi\Models\LoginModel.cs", "C#", 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Projetos\weather-tracking\Api\iVertion.WebApi\iVertion.WebApi.xml", "XML", 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Projetos\weather-tracking\App\weather_tracking_app\lib\app_module.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 6
