"filename", "language", "XML", "JSON", "C#", "Swift", "YAML", "Properties", "Gradle", "C++", "HTML", "Dart", "Markdown", "Docker", "comment", "blank", "total"
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\AdditionalUserRoleService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\AddressService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\CityService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\CountryService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\PersonAddressService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\PersonService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\ResultService.cs", "C#", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\RoleProfileService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\StateService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\TemporaryUserRoleService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Projetos\weather-tracking\Api\iVertion.Application\Services\UserProfileService.cs", "C#", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Projetos\weather-tracking\Api\iVertion.Application\Validation\ErrorValidation.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Projetos\weather-tracking\Api\iVertion.Application\iVertion.Application.csproj", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Projetos\weather-tracking\Api\iVertion.Domain.Testes\PersonUnitTest1.cs", "C#", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Projetos\weather-tracking\Api\iVertion.Domain.Testes\Usings.cs", "C#", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Projetos\weather-tracking\Api\iVertion.Domain.Testes\iVertion.Domain.Testes.csproj", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Account\IAuthenticate.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Account\IGoogleAuthService.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Account\IRoleInterface.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Account\ISeedUserRoleInitial.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Account\IUserInterface.cs", "C#", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 29
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\Address.cs", "C#", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\AddtionalUserRole.cs", "C#", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\City.cs", "C#", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\Country.cs", "C#", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\Device.cs", "C#", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Entities\Entity.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
